ID,_Name,_PosX,_PosY,_Rect_Width,_Rect_Height,_Map_Image,_Map_Width,_Map_Height,_Description,_Icon,_Icon_Index,_Map_Info1,_Map_Info2,_Map_Info3,_Map_Info4,_Map_Info5,_Land
1,??? ???,0,0,0,0,Jiendia_001.png,1024,650,?? ????? ?? ????? ???? ??? ??? ??? ??? ???. ???? ?? ?? ????? ???? ??? ?????.,10002000,2,貝羅斯都市,,,,,1
2,貝羅斯都市,184,214,54,54,Jiendia_002.png,1024,650,位於吉恩蒂亞大陸西北方的小都市有很多傳說同時也是偉大遊俠們的故鄉。據說有名的少女遊俠愛麗絲利比耶樂也是出身於貝羅斯。,10002000,3,山林地帶,[副本] 羅馬競技場,,,,1
3,山林地帶,274,183,30,30,Jiendia_003.png,1024,650,貝羅斯都市外圍茂密的樹林，陽光照進樹木間隙，是片讓人心情愉快的原野。 最近這裡出現的怪物們擋住了旅行者的腳步。,10002000,4,貝羅斯都市,古木林,,,,1
4,冥王神殿,465,137,30,30,Jiendia_004.png,1024,650,可以前往古木林與艾利亞斯。現在古代遺址已成為怪物的巢穴，雖然無法確定，但是有曾經目擊到火紅龍或哥布林統領的傳聞。,10002000,5,古木林,艾利亞斯都市,[副本] 蛇龍巢穴,,,1
5,原野地帶,633,141,30,30,Jiendia_005.png,1024,650,有純淨的天空和白雲為背景的鄉間小路，令人感覺到炙熱的冒險像謊言般安穩又溫暖的氣氛， 不過最近這裡有傳聞說有個身分不明的怪物會把冒險家給吃掉…,10002000,6,艾利亞斯都市,地下洞穴,,,,1
6,艾利亞斯都市,538,159,54,54,Jiendia_006.png,1024,1024,"吉恩蒂亞大陸最大的都市，被稱為世界的中心，也是艾利亞斯的王宮所在地。正被期待著開放自由市場的商業往來,格鬥場PvP等多樣要素的場所。",10002000,7,冥王神殿,原野地帶,大蘋果之城,春植島,,1
7,艾利亞斯自由市場,0,0,0,0,,0,0,位於艾利亞斯都市內的個人交易區域，是個尚有發展空間的地區。,10002000,7,,,,,,1
8,飛行中的機艙,0,0,0,0,,0,0,"可以搭乘飛翔在天空中、能到""大蘋果之城""的飛機。",10002000,94,,,,,,1
9,艾利亞斯格鬥場,0,0,0,0,,0,0,可以試著讓彼此的技術與能力一分高下的對決場所! 為了啟動真正的PvP，多少需要一點時間?,10002000,7,,,,,,1
10,艾利亞斯足球場,0,0,0,0,,0,0,Go! Go! 來享受足球樂吧!,10002000,24,,,,,,1
11,螞蟻洞穴,593,500,30,30,Jiendia_011.png,1024,650,連接熱帶雨林的地區，螞蟻怪物們棲息的地方，要特別注意的是對手女王蟻。,10002000,28,雨林地帶,,,,,1
12,紅高粱地,828,299,30,30,Jiendia_012.png,1024,650,形成日落的紅色天空下與長長的蜀黍田相連接的景色，是個讓人感覺到抒情與感性的地方。,10002000,8,龍京都市,阿爾卡笛亞,紅高粱地(深淵),,,1
13,地下洞穴,713,160,30,30,Jiendia_013.png,1024,650,可以從艾利亞斯的水井通往的地下洞穴。注意!那裡有許多帶有毒性的怪物。,10002000,15,原野地帶,山嶽地帶,,,,1
14,地下暗渠,467,841,30,30,Jiendia_014.png,1024,650,可以下去水族館的水路地下城。,10002000,17,水族館,,,,,1
15,黑月城,549,290,30,30,Jiendia_015.png,1024,650,治理奧亦奇的領主以及黑月公主所居住的城。 由迷宮般複雜房間組合而成，還有忍者在守護這個地方。,10002000,20,奧亦奇都市,[副本] 十六日的月,,,,1
16,雪原,150,633,30,30,Jiendia_016.png,1024,650,可經由艾利亞斯的居住區域到達的冰雪平原。聽說有個不可思議的地方會從深處流出熱水…?,10002000,29,亞特蘭提斯,[副本] 極地迷宮,溫泉,,,1
