ID,_Icon1,_IconIndex1,_Place_Info1,_NPC_Info1,_Icon2,_IconIndex2,_Place_Info2,_NPC_Info2,_Talk1,_Talk2,_Purpose,_Accept_Message,_Accept_Image,_Complete_Message,_Complete_Image,_City_Name,_Mission_OnOff1,_Mission_OnOff2,_Mission_OnOff3,_Mission_OnOff4,_Quest_BaseLV,_Quest_Kind,_Quest_Guidegroup,_Quest_Npcposition,_Quest_Purpseposition,_Quest_Next,_Quest_Guidediable,_Quest_DifficultyLV,_Mission_Note1,_Npc_Talk1,_Npc_Talk2,_Npc_Talk3,_Npc_Talk4,_Npc_Talk5,_Npc_Talk6
115003000,10005000,0,古木林,喬艾,10005000,0,古木林,無,古木林某處會有特別的緣分在等著你。,這是彩虹島物語Online劇情的開始！,前往“古木林 3”，向那裡的NPC提交任務。,,0,很好！現在可以出發了吧？,0,17,1,0,0,0,8,劇情,0,47,47,0,1,8,,0,0,0,0,0,0
115005000,10005000,0,冥王神殿,亞瑟絲,10004000,178,古木林,喬艾,冥王神殿的怪物們偷走了艾利亞斯物品保管處的魔法弓[賽蕾斯蒂亞]！,怪物們的隊長“大王哥布林”身上會不會有弓呢？,從“冥王神殿”的大王哥布林身上收集<賽蕾斯蒂亞>，然後向冥王神殿的“亞瑟絲”報告。,快去快回,0,噢? 弓找回來了！你真厲害！,0,17,1,1,1,1,11,劇情,0,4,4,0,1,11,,0,0,0,0,0,0
115007000,10005000,0,貝羅斯村莊,亞輝,10005000,2,冥王神殿,亞瑟絲,因為有危險，所以我讓亞輝在貝羅斯村莊酒館等候。,你能把賽蕾斯蒂亞交給亞輝嗎？,把<賽蕾斯蒂亞>還給“貝羅斯村莊”餐廳的“亞輝”並提交任務。(報告時，需要從裝備視窗卸下賽蕾斯蒂亞。),那麼辛苦你了。,0,謝謝！這次保證不會失敗。,0,17,1,1,1,1,11,劇情,0,4,4,0,1,11,,0,0,0,0,0,0
115009000,10005000,0,蛇龍巢穴,穆亞,10004000,178,蛇龍巢穴,喬艾,一定是蛇龍巢穴裡的紅龍幼蟲“影波克”偷走了弓。這次可要好好教訓一頓。,如果這個預感應驗，也許能在蛇龍巢穴見到那個孩子……,消滅“蛇龍巢穴”的BOSS[影波克]，然後向那裡的NPC提交任務。,拜託了。,0,嘿嘿，真厲害~,0,17,1,1,1,1,30,劇情,0,52,52,0,1,30,,0,0,0,0,0,0
115012000,10005000,0,龍京,柳香帥,10005000,0,龍京,無,訪問吉恩蒂亞的第一大城市“龍京”。,新的劇情在等著你。,到“龍京”打探龍京的情況，然後向“柳香帥”提交任務。,不確定前往龍京路途是否凶險，一定要小心。,0,我在紅高粱地遇到了一位陌生的老爺爺。要不要找機會問他有沒有見過蕭羽姐姐呢？,0,17,1,1,1,1,50,劇情,0,19,19,0,1,50,,0,0,0,0,0,0
115013000,10005000,0,紅高粱地,阿權,10005000,175,紅高粱地,阿權,訪問與龍京相連的紅高粱地地區。,去見神秘的人物。,與“紅高粱地”的“阿權”進行對話後，到“紅高粱地”1、2地區使用<挖掘>技能收集<災難的種子>，然後向“阿權”覆命。,沒想到你居然會幫我，謝謝你。,0,謝謝！我也會遵守約定，呵呵！,0,17,1,1,1,1,50,劇情,0,12,12,0,1,50,,0,0,0,0,0,0
115015000,10005000,0,香格里拉,蕭羽,10005000,175,紅高粱地,阿權,蕭羽小姐追著宣玉去了阿爾卡笛亞方向。,去找她的時候一定要小心。宣玉是非常可怕的傢伙。,進入“阿爾卡笛亞4”的劇情副本“蕭羽的足跡”尋找“蕭羽”。(單人副本),沒想到你居然會幫我，謝謝你。,0,讓你為我去涉險……真對不起。,0,17,1,1,1,1,50,劇情,0,22,22,0,1,50,,0,0,0,0,0,0
115016000,10005000,0,香格里拉,小藍,10005000,176,香格里拉,小藍,包括阿權師兄和我在內的八位神仙被人們稱為八仙。在金蘭雲系還算有一些名氣。怎麼不相信？,只要喝下這個藥水，八仙的力量將通過我們共有的小宇宙傳遞到你的身上。,"從""香格里拉""及""蕭羽的足跡""的任意怪物身上收集<萬年蔘>，然後向""小藍""報告。",那麼拜託你了。,0,很好，快點喝下去！,0,17,1,1,1,1,50,劇情,0,22,22,0,1,50,,0,0,0,0,0,0
115017000,10005000,0,龍京,蕭羽,10005000,46,香格里拉,蕭羽,玄武打算把香格里拉的仙氣全部吸收，然後到人間為非作歹。,必須在這裡阻止玄武，不能讓人們遭到蹂躪。,"打敗[玄武]，然後向""龍京""酒館2層客房的""蕭羽""報告。",希望你盡快。,0,不知道如何感謝你才好……謝謝！,0,17,1,1,1,1,50,劇情,0,22,22,0,1,50,,0,0,0,0,0,0
115018000,10005000,0,十六日的月,黑月公主,10005000,55,奧亦奇,亞美,統治奧亦奇無數年的黑月城好像發生了什麼事情。,請訪問“奧亦奇”。,"在""奧亦奇""的""橋""上與""亞美""對話，然後到""黑月城""裡的""十六日的月""向[黑月公主]提交任務。",拜託你了。,0,謝謝你專程來傳信。,0,17,1,1,1,1,53,劇情,0,20,20,0,1,53,,0,0,0,0,0,0
115019000,10005000,0,奧亦奇,亞美,10005000,110,奧亦奇,黑月公主,把黑月公主的消息轉達給亞美。,,"向""奧亦奇""的""亞美""提交任務。",,0,COOL！公主身體健康。謝謝你告訴我這個情況！,0,17,1,1,1,1,53,劇情,0,20,20,0,1,53,,0,0,0,0,0,0
115021000,10005000,0,阿法,卡地佛,10005000,110,奧亦奇,黑月公主,我正在招募肯去沙漠執行任務的冒險家。馬上來跟我談話，然後動身去沙漠。速速趕到黑月城前面！,,"到""黑月城前面""聽""黑月公主""介紹任務，然後向""阿法""的""卡地佛""提交任務。",快去!,0,哦，你是奧亦奇的使者嗎？辛苦你了。,0,17,1,1,1,1,62,劇情,0,17,17,0,1,62,,0,0,0,0,0,0
115023000,10005000,0,奧亦奇,塔莫里,10005000,72,阿法,卡地佛,借馬伊諾的寶石不成問題，但問題是保管寶石的場所。,有個叫凡基歐的男人去了金字塔。你去幫助他。,"到""沙漠地帶""的""金字塔""打敗[人面獅身]，然後向""奧亦奇""的""塔莫里""提交任務。",動作快。,0,我代表外出的公主殿下向你表示感謝。今後不用再擔心城主大人的健康問題了。,0,17,1,1,1,1,62,劇情,0,20,24,0,1,62,,0,0,0,0,0,0
115024000,10005000,0,陰森住宅入口,魯娜蕾希,10005000,0,奧亦奇,黑月城主,多虧你拿來馬伊諾的寶石，公主殿下的活動更自由一些了。那孩子不想浪費這個機會。,有傳聞說，那孩子的王子被關在黑暗森林的某個地方。如果你有時間，能去幫幫忙嗎？,"在""黑暗森林""的""陰森住宅""入口與""黑月公主""對話，然後向""魯娜蕾希""提交任務。",沒想到你居然會答應我的請託，謝謝。,0,呵呵，願好運與你同在！,0,17,1,1,1,1,72,劇情,0,31,31,0,1,72,,0,0,0,0,0,0
115026000,10005000,0,陰森住宅入口,魯娜蕾希,10005000,110,陰森住宅入口,黑月公主,我要除掉躲在房子裡的魔女並且救出雷比！,雖然我自己足以對付，但是我不會阻止你跟著我。,"探索""陰森住宅""找出""雷比亞倫斯""，然後打敗""哥德房屋""的[潘朵拉]，接下來向""陰森住宅入口""的""魯娜蕾希""提交任務。",既然要做就動作快。,0,……希望通過這件事，雷比和潘朵拉兩位的未來變得更愉快，更幸福……,0,17,1,1,1,1,72,劇情,0,31,31,0,1,72,,0,0,0,0,0,0
115027000,10005000,0,艾利亞斯王宮,海樂妮,10005000,108,艾利亞斯王宮,雷比,陛下想見見你。應該是想誇獎你救了我吧。,而且好像想下達重要的任務。,"到""艾利亞斯王宮""覲見""國王惠宗""，然後向海樂妮公主提交任務。",那麼要走了嗎？,0,啊，你就是那位冒險家吧！謝謝你救了雷比！,0,17,1,1,1,1,85,劇情,0,6,6,0,1,85,,0,0,0,0,0,0
115030000,10005000,0,已冷卻的心臟,卡蒂亞•舒,10005000,37,艾利亞斯王宮,惠宗,亞特蘭提斯之門雖然敞開，但他們遵守著不能與地表人深入交流的規定。,只要得到海龍王的巫女“卡蒂亞•舒”的允許，你就能得到安娜史塔莎市長的協助。,"與""貝斯""的""宣聖""進行對話，然後到""已冷卻的心臟""打敗[海龍王]，最後向""卡蒂亞•舒""提交任務。背包的裝備欄要有一個空格。",那麼之後再見。,0,謝謝你幫忙渡過這次危機。,0,17,1,1,1,1,85,劇情,0,6,39,0,1,85,,0,0,0,0,0,0
115031000,10005000,0,貝斯,宣聖,10005000,112,已冷卻的心臟,卡蒂亞•舒,領導野蠻族的火之巫女，可雅……她還在舉行滅殺海龍王的儀式。,如果不阻止她的儀式，海龍王總有一天還會暴走。,"打敗""克杜卡的心臟""的[可雅]，然後向""宣聖""提交任務。",請幫我。,0,任務完成得很漂亮！你太厲害了。陛下一定會龍顏大悅！,0,17,1,1,1,1,91,劇情,0,39,67,0,1,91,,0,0,0,0,0,0
115032000,10005000,0,亞特蘭提斯,安娜史塔莎,10005000,95,貝斯,宣聖,阿法海邊可以找到前往亞特蘭提斯的潛艇。,如果擁有海龍王巫女的祝福，你就可以得到那裡的市長安娜史塔莎的協助。祝你好運！,"前往""亞特蘭提斯""向市長""安娜史塔莎""提交任務。",如果是你的話，應該不會很難吧。,0,從你身上感受到了水之巫女的祝福。旅行者，歡迎你來到亞特蘭提斯。,0,17,1,1,1,1,99,劇情,0,37,218,0,1,99,,0,0,0,0,0,0
115037000,10005000,0,亞特蘭提斯,安娜史塔莎,10005000,124,亞特蘭提斯,安娜史塔莎,奇邁羅研究所象徵亞特蘭提斯過去的罪孽。,希望你從那裡的中心地帶拿來一件遺物。,"到""奇邁羅研究所""找出<擬真機器人蘇切>，然後向""亞特蘭提斯""的""安娜史塔莎""提交任務。",拜託了。,0,不知道今後會發生什麼事……但你已經盡力了。謝謝！,0,17,1,1,1,1,99,劇情,0,82,82,0,1,99,,0,0,0,0,0,0
115040000,10005000,0,奧亦奇,塔莫里,10005000,0,奧亦奇,黑月城主,黑月公主根據影子忍者王提供的情報去貓頭鷹城對付[將軍]了。,他們還利用神奇的咒術物品綁架了舞扇忍者。你要避免跟舞扇忍者交手……！,"從""黑月城""前面的""黑月城主""那裡瞭解詳細情況，然後到""貓頭鷹城瞭望樓""幫助""黑月公主""，最後向""奧亦奇""的""塔莫里""提交任務。",對不起，公主就拜託你了。,0,……公主殿下的表情很可怕，你知道是因為什麼事嗎？,0,17,1,1,1,1,120,劇情,0,219,219,0,1,120,,0,0,0,0,0,0
115042000,10005000,139,米德卡勒特,史諾,10005000,124,亞特蘭提斯,安娜史塔莎,有消息說，在連接米德卡勒特和亞斯卡勒特的軌道太空梯“比佛羅斯特”發現喬安潘的行蹤。,你也知道，現在必須抓住或者擊退她。你能去一趟嗎？,"在""比佛羅斯特""上部的""瓦爾哈拉的寶座""探索""喬安潘""，然後向""米德卡勒特""的""史諾""提交任務。",我沒有話要說了。,0,……不知道是什麼事讓這個倔強的孩子變得如此憔悴……請不要擔心。奧亦奇來人之前我會好好照顧的。,0,17,1,1,1,1,130,劇情,0,86,88,0,1,130,,0,0,0,0,0,0
9307101,10005000,193,停等區 1,史德拉?,10005000,195,太空船發射台,史德拉,我的同僚會在機庫等你。你能跟我的同僚說‘史德拉過得很好~’嗎？,希望你再把這個送過去。,"把[超級麵包]交給""機庫""的""史德拉?""，然後提交任務。",哇，太謝謝你了！,0,你受了史德拉小姐的委託？\n太謝謝你了！\n噢……軟綿綿……熱呼呼！ \n(悄聲低語……看來委託給溫暖的宇宙船裡的乘客是對的~)\n嗯？沒，沒什麼。,0,17,1,1,1,1,155,劇情,0,111,141,0,1,155,,0,0,0,0,0,0
9308101,10005000,192,停等區 1,伊修塔樂,10005000,193,機庫,史德拉?,我打算休息一會兒了。,如果可以的話，可以順路清理周邊的魔物和故障的機械戰士嗎？,"獵殺""機庫""的魔物，然後向""停等區1""的""伊修塔樂""提交任務。",咳咳，真的很感謝你。相信伊修塔樂大人知道結果後會給你相應的獎勵。,0,哦！我一直擔心旅行社的章魚小姐，看來過得不錯。辛苦你了。,0,17,1,1,1,1,155,劇情,0,141,141,0,1,155,,0,0,0,0,0,0
9491101,10005000,192,停等區 1,伊修塔樂,10005000,192,機庫,伊修塔樂,魔物竟然出現在遠離前線的機庫和水耕農場……,我覺得應該有什麼隱情。希望你幫我查出來。,"獵殺""機庫""的怪物，尋找異常現象的線索，然後向""停等區1""的""伊修塔樂""提交任務。",希望不是太複雜的原因。,0,……這是什麼？為什麼會有不祥的感覺……,0,17,1,1,1,1,155,劇情,0,157,141,0,1,155,,0,0,0,0,0,0
9491102,10005000,191,停等區 2,菲莉亞,10005000,192,機庫,伊修塔樂,水耕農場的種植機器人雖然不是戰鬥型機器人，但依然具備不俗的戰力。,菲莉亞的性能在亞斯卡勒特單位裡最出色，只是性格……,"去找""水耕農場""的""菲莉亞""。",希望你去看看水耕農場是否運轉正常。,0,波波波~波波波~我當然沒事。就算亞斯卡勒特今天滅亡也不用擔心 ?,0,18,1,1,1,1,155,一般,0,157,157,0,1,155,,0,0,0,0,0,0
9491103,10005000,190,停等區 3,莎拉斯芭蒂,10005000,192,機庫,伊修塔樂,莎拉斯芭蒂是次元管理室“D-拉伯”的管理者。,她在亞斯卡勒特幾乎是全能的存在，很難想像她會出什麼事情……,"去找""D-拉伯""的""莎拉斯芭蒂""。",在最近的情況下，她也會有自己的煩惱吧。,0,謝謝你為我擔心。也請轉達我對伊修塔樂的謝意。,0,18,1,1,1,1,155,一般,0,157,157,0,1,155,,0,0,0,0,0,0
9491104,10005000,191,停等區 2,菲莉亞,10005000,192,機庫,伊修塔樂,雖然不敢肯定，但這並非普通的羽毛。,你能拿過去跟其他地區的管理者問問嗎？,"讓""菲莉亞""看看羽毛。",這種時候不能只靠軍事學……,0,哦？什麼什麼？,0,17,1,1,1,1,155,劇情,0,157,157,0,1,155,,0,0,0,0,0,0
9491105,10005000,190,停等區 3,莎拉斯芭蒂,10005000,191,水耕農場,菲莉亞,嗯……裡面充滿了某種生命力。不能使用，太可惜了。,這根羽毛讓我感到危險，但是想不出具體原因。建議你拿去給沙拉姐姐看看。,"讓""D-拉伯停等區""的""莎拉斯芭蒂""看看羽毛。",有疑問就要找D-拉伯的百科全書！這是常識。‘撒拉嘿’甚至成為了新的的慣用語！,0,撒拉嘿……？這應該是指菲莉亞最近努力逗我笑的行為吧。,0,17,1,1,1,1,155,劇情,0,157,157,0,1,155,,0,0,0,0,0,0
9491106,10005000,192,停等區 1,伊修塔樂,10005000,190,D-拉伯,莎拉斯芭蒂,這是羅基的羽毛。雖然擁有某種力量……幾乎全被你的力量給中和了。,嗯？你說你不知道這是羅基的物品？被羅基迷惑的對象身上總能發現羽毛。,"把瞭解到的情況告訴""伊修塔樂""。",為防止竊聽，我決定不開通線路。你能親口告訴伊修塔樂姐姐嗎？,0,……羅基。原來那傢伙是元兇！,0,17,1,1,1,1,155,劇情,0,157,157,0,1,155,,0,0,0,0,0,0
9491107,10005000,192,停等區 1,伊修塔樂,10005000,192,機庫,伊修塔樂,既然找出了罪魁禍首，不用再猶豫了。,不管是異界的神還是什麼東西，跟我一點關係也沒有！我要把他扒光，倒著掛起來！,"打敗""D-拉伯""的[羅基]，收集50張<羅基的破爛拳擊短褲>，然後向""伊修塔樂""覆命。",希望你去教訓一下出現在D-拉伯各處的雞毛老頭兒！,0,做得很好。魔物的動靜明顯變小了。短褲該怎麼辦呢……,0,17,1,1,1,1,155,劇情,0,157,143,0,1,155,,0,0,0,0,0,0
9491108,10005000,192,停等區 1,伊修塔樂,10005000,192,機庫,伊修塔樂,出現在D-拉伯各個角落的羅基其實是本體的分身。,我總覺得有個存在比那個更接近本體的力量。,"打敗""D-拉伯""某處的[特別的]羅基，然後向""伊修塔樂""回復結果。\n[建議組隊]",你是我手上的王牌。拜託了！,0,辛苦你了。\n我對你放一百萬個心，所以根本沒有擔心。,0,17,1,1,1,1,155,劇情,0,157,143,0,1,155,,0,0,0,0,0,0
9492101,10005000,191,停等區 2,菲莉亞,10005000,191,水耕農場,菲莉亞,用沃參的灑肥機施肥的植物正在以驚人的速度成長。,能量耗得太多，快要枯死……是不太可能的。,"從[沃參]那裡收集50個<灑肥機>，然後向""菲莉亞""報告結果。",寫著“靈藥”的灑肥機或許隱藏著什麼秘密。,0,謝謝。現在要調查這裡面的東西……！,0,17,1,1,1,1,155,劇情,0,157,142,0,1,155,,0,0,0,0,0,0
9492102,10005000,188,機庫,卡特,10005000,188,機庫,卡特,小偷！強盜！無賴！,突然出現的某個傢伙搶走了伊修塔樂姐姐的簽名！,"[戴牛仔帽子的某人]偷走了""伊修塔樂""送給""卡特""的<簽名紙>。請把它找回來，然後向""機庫""的""卡特""提交任務。",戴著紅色圍巾和牛仔帽的胖子……那傢伙肯定是……！,0,啊，我的簽名紙！快遞給我！啊~~,0,18,1,1,1,1,155,一般,0,141,157,0,1,155,,0,0,0,0,0,0
9492103,10005000,182,水耕農場,沃參,10005000,182,水耕農場,沃參,受到伊修塔樂大人的一點寵信就眼中無人了……,其實……也不是羡慕什麼簽名……,"獵殺80隻[卡特]，然後向""水耕農場""的""沃參""回覆。",絕不能原諒……！！噢噢噢噢噢───！！！！！,0,……我找回了內心的平靜。\n……啊，我太小心眼了。,0,18,1,1,1,1,155,一般,0,142,141,0,1,155,,0,0,0,0,0,0
9492104,10005000,188,機庫,卡特,10005000,188,機庫,卡特,最近我覺得沃參比魔物更讓我傷腦筋。,髮尾是不是被燒焦了？沃參喊著“沃參之火~”用打火機點燃了頭髮！太不像話了！,"從""沃參""處收集50條<鋼鐵圍巾>，然後向""機庫""的""卡特""回復。",為什麼要這麼對我！是不是因為太過喜歡，所以故意折磨我？唉，真受不了?,0,剛來遍體鱗傷的沃參來這裡說了一句<正義是軟弱的。今天就原諒你>…… 看來被你修理得很慘。,0,18,1,1,1,1,155,一般,0,141,141,0,1,155,,0,0,0,0,0,0
9492105,10005000,182,水耕農場,沃參,10005000,182,水耕農場,沃參,其實就是那個傢伙做錯了。,但是我多少能理解那傢伙的心情……因為那是伊修塔樂的簽名！！！！,"得到""伊修塔樂""的簽名，然後向""水耕農場""的""沃參""提交任務。",對於本該成為伊修塔樂粉絲團的那傢伙來說，應該是很難拒絕的誘惑……,0,啊？讓我把這個拿給朋友？沒想到你是那種頭上戴著光環，背上揹著雞毛翅膀就假裝自己是善良天使的那種類型！,0,18,1,1,1,1,155,一般,0,142,157,0,1,155,,0,0,0,0,0,0
9492106,10005000,182,水耕農場,沃參,10005000,182,水耕農場,沃參,有一個夥計被你獵殺了三十多次，內心深受打擊……所以準備外出修行。,畢竟曾經交過手，送一些禮物是不是更能體現一位武人的風度呢？,"從""亞斯卡勒特""的所有怪物身上收集""伊修塔樂""和""莎拉斯芭蒂""、""雷克德& 昆利""的<照片>後，向""水耕農場""的""沃參""提交任務。",而且我不是怪物，千萬不能殺我。……求你放過我 T_T,0,這……這張伊修塔樂的照片…如果給那個傢伙就太可惜了……,0,18,1,1,1,1,155,一般,0,142,157,0,1,155,,0,0,0,0,0,0
9492107,10005000,191,水耕農場,菲莉亞,10005000,182,水耕農場,沃參,他離開了。帶著簽名的照片……看起來非常滿意。這都是你的功勞。,但是好像不需要這張照片……,"去把<菲莉亞的照片>還給""菲莉亞""……總覺得此行會很危險。",是是是是不是應該還還還還給主主主主人呢？,0,…………………………………………哦，原來我的照片還沒有雷克德& 昆利的照片有價值……呵呵，呵呵，呵呵呵呵……,0,18,1,1,1,1,155,一般,0,142,157,0,1,155,,0,0,0,0,0,0
9492108,10005000,183,爬呀爬大樹,出差的柯鬥,10005000,191,水耕農場,菲莉亞,我派一個柯鬥去下界尋找可以給水耕農場的植物提供營養的特殊材料。,請拿來那個朋友調查的結果。,"去見""出差的柯鬥""。位置在""下界最茁壯成長的植物""！！",會不會在<下界最茁壯成長的植物>附近做研究呢？,0,菲莉亞派你來的？來殺我的職業殺手終，終於！？什麼，不是？唉……嚇我一跳……,0,17,1,1,1,1,155,劇情,0,142,35,0,1,155,,0,0,0,0,0,0
